GO.cluster	IC	GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"1"	8.23	"GO:0005308"	"creatine transmembrane transporter activity"	"Enables the transfer of creatine from one side of a membrane to the other. Creatine is a compound synthesized from the amino acids arginine, glycine, and methionine that occurs in muscle."	"50% (4/8)"	0.001676142	2.78	"Pocillopora_acuta_HIv2___RNAseq.g1200.t1;Pocillopora_acuta_HIv2___RNAseq.g26586.t1;Pocillopora_acuta_HIv2___TS.g16482.t1;Pocillopora_acuta_HIv2___TS.g16484.t1"	"Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Sodium- and chloride-dependent GABA transporter 3) (GAT-3) (Solute carrier family 6 member 13);Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9);Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Sodium- and chloride-dependent GABA transporter 3) (GAT-3) (Solute carrier family 6 member 13);Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Sodium- and chloride-dependent GABA transporter 3) (GAT-3) (Solute carrier family 6 member 13)"	"12.5% (1/8)"	0.2575726	0.59	NA	NA
"1"	8.11	"GO:0005332"	"gamma-aminobutyric acid:sodium:chloride symporter activity"	"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: gamma-aminobutyric acid(out) + Na+(out) + Cl-(out) = gamma-aminobutyric acid(in) + Na+(in) + Cl(in)."	"44.444% (4/9)"	0.002840089	2.55	"Pocillopora_acuta_HIv2___RNAseq.g1200.t1;Pocillopora_acuta_HIv2___RNAseq.g28251.t1;Pocillopora_acuta_HIv2___TS.g16482.t1;Pocillopora_acuta_HIv2___TS.g16484.t1"	"Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Sodium- and chloride-dependent GABA transporter 3) (GAT-3) (Solute carrier family 6 member 13);Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1);Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Sodium- and chloride-dependent GABA transporter 3) (GAT-3) (Solute carrier family 6 member 13);Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Sodium- and chloride-dependent GABA transporter 3) (GAT-3) (Solute carrier family 6 member 13)"	"11.111% (1/9)"	0.2847176	0.55	NA	NA
"1"	7.82	"GO:0033229"	"cysteine transmembrane transporter activity"	"Enables the transfer of cysteine from one side of a membrane to the other."	"41.667% (5/12)"	0.001150884	2.94	"Pocillopora_acuta_HIv2___RNAseq.g12410.t1;Pocillopora_acuta_HIv2___RNAseq.g22644.t1;Pocillopora_acuta_HIv2___RNAseq.g7215.t1;Pocillopora_acuta_HIv2___RNAseq.g7217.t1;Pocillopora_acuta_HIv2___TS.g22105.t1"	"Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2);Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1);Major facilitator superfamily domain-containing protein 12 (Protein grizzled);Major facilitator superfamily domain-containing protein 12 (Protein grizzled);Major facilitator superfamily domain-containing protein 12"	"0% (0/12)"	1	0	NA	NA
"1"	8.7	"GO:0000064"	"L-ornithine transmembrane transporter activity"	"Enables the transfer of L-ornithine from one side of a membrane to the other. L-ornithine is 2,5-diaminopentanoic acid."	"60% (3/5)"	0.003672538	2.44	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2);High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter);Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)"	"0% (0/5)"	1	0	NA	NA
"1"	8.52	"GO:0015189"	"L-lysine transmembrane transporter activity"	"Enables the transfer of L-lysine from one side of a membrane to the other. L-lysine is 2,6-diaminohexanoic acid."	"66.667% (4/6)"	0.0004055296	3.39	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2);High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter);Mitochondrial basic amino acids transporter (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial carnitine/acylcarnitine carrier protein CACL) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29);Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)"	"0% (0/6)"	1	0	NA	NA
"1"	8.52	"GO:0061459"	"L-arginine transmembrane transporter activity"	"Enables the transfer of L-arginine from one side of a membrane to the other."	"66.667% (4/6)"	0.0004055296	3.39	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2);High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter);Mitochondrial basic amino acids transporter (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial carnitine/acylcarnitine carrier protein CACL) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29);Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)"	"0% (0/6)"	1	0	NA	NA
"2"	6.62	"GO:0005272"	"sodium channel activity"	"Enables the energy-independent facilitated diffusion of a sodium ion through a transmembrane aqueous pore or channel."	"21.875% (7/32)"	0.008032106	2.1	"Pocillopora_acuta_HIv2___RNAseq.g24029.t1;Pocillopora_acuta_HIv2___RNAseq.g29670.t2;Pocillopora_acuta_HIv2___RNAseq.g701.t1;Pocillopora_acuta_HIv2___TS.g14960.t2;Pocillopora_acuta_HIv2___TS.g15134.t1;Pocillopora_acuta_HIv2___TS.g16172.t3;Pocillopora_acuta_HIv2___TS.g21128.t1"	"Amiloride-sensitive sodium channel subunit alpha (Alpha-NaCH) (Epithelial Na(+) channel subunit alpha) (Alpha-ENaC) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA);Cyclic nucleotide-gated channel alpha-3 (CNG channel alpha-3) (CNG-3) (CNG3) (Cone photoreceptor cGMP-gated channel subunit alpha-3);Polycystin-2 (Polycystic kidney disease 2 protein homolog);Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6);Mechanosensory protein 2;Sodium channel protein 1 brain (Sodium channel protein I brain);Sodium channel protein type 4 subunit alpha B (Voltage-gated sodium channel subunit alpha Nav1.4b)"	"0% (0/32)"	1	0	NA	NA
"2"	5.62	"GO:0005262"	"calcium channel activity"	"Enables the energy-independent facilitated diffusion of a calcium ion through a transmembrane aqueous pore or channel."	"17.045% (15/88)"	0.001973255	2.7	"Pocillopora_acuta_HIv2___RNAseq.10010_t;Pocillopora_acuta_HIv2___RNAseq.g11916.t1;Pocillopora_acuta_HIv2___RNAseq.g12898.t1;Pocillopora_acuta_HIv2___RNAseq.g15159.t1;Pocillopora_acuta_HIv2___RNAseq.g23883.t2;Pocillopora_acuta_HIv2___RNAseq.g24761.t1;Pocillopora_acuta_HIv2___RNAseq.g26118.t1;Pocillopora_acuta_HIv2___RNAseq.g29670.t2;Pocillopora_acuta_HIv2___RNAseq.g5755.t1;Pocillopora_acuta_HIv2___RNAseq.g701.t1;Pocillopora_acuta_HIv2___RNAseq.g702.t1;Pocillopora_acuta_HIv2___RNAseq.g710.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___TS.g14960.t2;Pocillopora_acuta_HIv2___TS.g21857.t1"	"Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor);Neuronal acetylcholine receptor subunit alpha-10 (Alpha 10 nAChR) (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10);Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4);Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2);VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1);Annexin A6 (Annexin VI) (Annexin-6);Voltage-dependent calcium channel type A subunit alpha-1 (Cacophony protein);Cyclic nucleotide-gated channel alpha-3 (CNG channel alpha-3) (CNG-3) (CNG3) (Cone photoreceptor cGMP-gated channel subunit alpha-3);Short transient receptor potential channel 5 (TrpC5) (Capacitative calcium entry channel 2) (CCE2) (Transient receptor protein 5) (TRP-5) (mTRP5) (Trp-related protein 5);Polycystin-2 (Polycystic kidney disease 2 protein homolog);Sperm receptor for egg jelly (suREJ);Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2);Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor);Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6);Polycystin-1-like protein 3 (Polycystin-1L3) (PC1-like 3 protein) (Polycystic kidney disease protein 1-like 3)"	"0% (0/88)"	1	0	NA	NA
"2"	6.38	"GO:0022824"	"transmitter-gated monoatomic ion channel activity"	"Enables the transmembrane transfer of an ion by a channel that opens when a specific neurotransmitter has been bound by the channel complex or one of its constituent parts."	"26.923% (7/26)"	0.002318939	2.63	"Pocillopora_acuta_HIv2___RNAseq.g11916.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g26672.t1;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g28202.t1;Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___TS.g14960.t2"	"Neuronal acetylcholine receptor subunit alpha-10 (Alpha 10 nAChR) (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Neuronal acetylcholine receptor subunit alpha-7;Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Neuronal acetylcholine receptor subunit beta-3;Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit);Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6)"	"0% (0/26)"	1	0	NA	NA
"2"	6.48	"GO:0005254"	"chloride channel activity"	"Enables the energy-independent facilitated diffusion of a chloride ion through a transmembrane aqueous pore or channel."	"21.212% (7/33)"	0.00955579	2.02	"Pocillopora_acuta_HIv2___RNAseq.g17622.t1;Pocillopora_acuta_HIv2___RNAseq.g19042.t1;Pocillopora_acuta_HIv2___RNAseq.g19043.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___TS.g19790.t1"	"Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln));Anoctamin-7 (Dresden transmembrane protein of the prostate) (D-TMPP) (IPCA-5) (New gene expressed in prostate) (Prostate cancer-associated protein 5) (Transmembrane protein 16G);Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit);Chloride intracellular channel protein 3 (Glutaredoxin-like oxidoreductase CLIC3) (EC 1.8.-.-)"	"0% (0/33)"	1	0	NA	NA
