Pocillopora_acuta_HIv2___TS.g9777.t1	4e099ab4bcc3a55e7b8fd9b5d0880259	423	SMART	SM00179	egfca_6	25	66	3.3E-5	T	30-10-2025	IPR001881	EGF-like calcium-binding domain	-	-
Pocillopora_acuta_HIv2___TS.g9777.t1	4e099ab4bcc3a55e7b8fd9b5d0880259	423	CDD	cd00054	EGF_CA	25	51	1.30055E-4	T	30-10-2025	-	-	-	-
Pocillopora_acuta_HIv2___TS.g9777.t1	4e099ab4bcc3a55e7b8fd9b5d0880259	423	Pfam	PF23344	ZP-N domain	74	164	1.1E-11	T	30-10-2025	IPR055356	ZP-N domain	-	-
Pocillopora_acuta_HIv2___TS.g9777.t1	4e099ab4bcc3a55e7b8fd9b5d0880259	423	SMART	SM00241	zp_4	73	323	3.4E-47	T	30-10-2025	IPR001507	Zona pellucida domain	-	-
Pocillopora_acuta_HIv2___TS.g9777.t1	4e099ab4bcc3a55e7b8fd9b5d0880259	423	Pfam	PF00100	ZP-C domain	188	316	2.8E-28	T	30-10-2025	IPR055355	ZP-C domain	-	-
Pocillopora_acuta_HIv2___RNAseq.g23857.t1	55b9c101b1670b081edf0ec87621991c	473	SMART	SM00320	WD40_4	375	418	310.0	T	30-10-2025	IPR001680	WD40 repeat	-	-
Pocillopora_acuta_HIv2___RNAseq.g23857.t1	55b9c101b1670b081edf0ec87621991c	473	SMART	SM00320	WD40_4	295	335	0.001	T	30-10-2025	IPR001680	WD40 repeat	-	-
Pocillopora_acuta_HIv2___RNAseq.g23857.t1	55b9c101b1670b081edf0ec87621991c	473	SMART	SM00320	WD40_4	149	187	12.0	T	30-10-2025	IPR001680	WD40 repeat	-	-
Pocillopora_acuta_HIv2___RNAseq.g23857.t1	55b9c101b1670b081edf0ec87621991c	473	SMART	SM00320	WD40_4	252	291	3.4E-4	T	30-10-2025	IPR001680	WD40 repeat	-	-
Pocillopora_acuta_HIv2___RNAseq.g23857.t1	55b9c101b1670b081edf0ec87621991c	473	Pfam	PF00400	WD domain, G-beta repeat	257	291	2.0	T	30-10-2025	IPR001680	WD40 repeat	-	-
Pocillopora_acuta_HIv2___RNAseq.g23857.t1	55b9c101b1670b081edf0ec87621991c	473	Pfam	PF00400	WD domain, G-beta repeat	298	333	2.7	T	30-10-2025	IPR001680	WD40 repeat	-	-
Pocillopora_acuta_HIv2___RNAseq.g19230.t1	3abff5ea10e0026c5a9c53f0d8fe6110	232	Pfam	PF01424	R3H domain	43	103	5.6E-13	T	30-10-2025	IPR001374	R3H domain	-	-
Pocillopora_acuta_HIv2___RNAseq.g19230.t1	3abff5ea10e0026c5a9c53f0d8fe6110	232	CDD	cd02636	R3H_sperm-antigen	44	104	4.77755E-27	T	30-10-2025	IPR034068	Sperm-associated antigen 7, R3H domain	-	-
Pocillopora_acuta_HIv2___RNAseq.g19230.t1	3abff5ea10e0026c5a9c53f0d8fe6110	232	SMART	SM00393	R3H_4	24	104	1.7E-14	T	30-10-2025	IPR001374	R3H domain	-	-
Pocillopora_acuta_HIv2___RNAseq.g18756.t2	c81a101f5cdab235a28fb22e97b2446a	280	SMART	SM00184	ring_2	16	58	1.8E-7	T	30-10-2025	IPR001841	Zinc finger, RING-type	-	-
Pocillopora_acuta_HIv2___RNAseq.g18756.t2	c81a101f5cdab235a28fb22e97b2446a	280	Pfam	PF13445	RING-type zinc-finger	16	56	2.2E-6	T	30-10-2025	IPR027370	Zinc finger, RING-type, eukaryotic	-	-
